## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[SRR15660643/sorted.bam] OUTPUT=SRR15660643/sorted.marked.bam METRICS_FILE=SRR15660643/QC/Duplication.statistics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 01 16:58:48 EST 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	5178	1176908	52315	5930	5171	591591	22259	0.503754	741658

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.007897	434370	0	442687
2.0	1.21408	90391	17280	85200
3.0	1.256258	23490	1300	21538
4.0	1.264886	8790	167	8303
5.0	1.266651	4789	29	4602
6.0	1.267012	3208	7	3107
7.0	1.267086	2490	9	2455
8.0	1.267101	1934	3	1889
9.0	1.267104	1635	7	1620
10.0	1.267105	1438	4	1368
11.0	1.267105	1229	4	1249
12.0	1.267105	1057	1	1058
13.0	1.267105	925	3	888
14.0	1.267105	800	1	810
15.0	1.267105	809	4	771
16.0	1.267105	631	5	633
17.0	1.267105	573	2	551
18.0	1.267105	487	2	495
19.0	1.267105	448	1	424
20.0	1.267105	401	0	395
21.0	1.267105	354	5	361
22.0	1.267105	358	0	354
23.0	1.267105	371	1	348
24.0	1.267105	302	1	273
25.0	1.267105	243	2	264
26.0	1.267105	271	2	263
27.0	1.267105	224	1	216
28.0	1.267105	214	1	202
29.0	1.267105	160	4	169
30.0	1.267105	175	0	155
31.0	1.267105	154	0	164
32.0	1.267105	151	3	154
33.0	1.267105	152	1	148
34.0	1.267105	147	1	145
35.0	1.267105	134	1	121
36.0	1.267105	124	1	95
37.0	1.267105	98	1	115
38.0	1.267105	109	1	107
39.0	1.267105	95	0	87
40.0	1.267105	81	0	76
41.0	1.267105	69	2	74
42.0	1.267105	85	1	74
43.0	1.267105	60	2	65
44.0	1.267105	72	3	72
45.0	1.267105	59	0	81
46.0	1.267105	69	0	51
47.0	1.267105	53	1	47
48.0	1.267105	59	0	50
49.0	1.267105	58	0	52
50.0	1.267105	44	1	44
51.0	1.267105	43	0	40
52.0	1.267105	43	0	45
53.0	1.267105	35	1	36
54.0	1.267105	40	0	34
55.0	1.267105	30	0	35
56.0	1.267105	33	0	25
57.0	1.267105	24	1	21
58.0	1.267105	23	0	28
59.0	1.267105	32	0	32
60.0	1.267105	28	0	19
61.0	1.267105	18	0	31
62.0	1.267105	24	0	24
63.0	1.267105	24	0	15
64.0	1.267105	15	0	13
65.0	1.267105	13	0	16
66.0	1.267105	18	0	19
67.0	1.267105	15	0	18
68.0	1.267105	23	0	12
69.0	1.267105	14	0	14
70.0	1.267105	8	0	17
71.0	1.267105	17	0	18
72.0	1.267105	17	0	14
73.0	1.267105	13	0	8
74.0	1.267105	12	0	7
75.0	1.267105	8	0	11
76.0	1.267105	8	0	13
77.0	1.267105	14	0	9
78.0	1.267105	9	0	11
79.0	1.267105	6	0	4
80.0	1.267105	7	0	5
81.0	1.267105	12	0	8
82.0	1.267105	6	0	9
83.0	1.267105	3	0	3
84.0	1.267105	12	0	8
85.0	1.267105	5	0	5
86.0	1.267105	4	0	8
87.0	1.267105	6	0	6
88.0	1.267105	4	0	5
89.0	1.267105	6	0	8
90.0	1.267105	13	0	4
91.0	1.267105	2	0	3
92.0	1.267105	4	0	4
93.0	1.267105	3	0	3
94.0	1.267105	2	0	4
95.0	1.267105	3	0	1
96.0	1.267105	3	0	4
97.0	1.267105	4	0	6
98.0	1.267105	3	0	2
99.0	1.267105	4	0	3
100.0	1.267105	4	0	5
101.0	0	2	0	2
102.0	0	5	0	2
103.0	0	2	0	2
104.0	0	2	0	1
105.0	0	2	0	1
106.0	0	1	0	1
107.0	0	1	0	2
108.0	0	0	0	4
109.0	0	2	0	2
110.0	0	3	0	4
111.0	0	3	0	2
112.0	0	3	0	2
113.0	0	2	0	2
114.0	0	4	0	4
115.0	0	1	0	0
116.0	0	3	0	1
117.0	0	2	0	1
118.0	0	1	0	4
119.0	0	2	0	2
120.0	0	2	0	2
121.0	0	2	0	0
122.0	0	1	0	0
123.0	0	2	0	2
124.0	0	1	0	1
125.0	0	1	0	1
126.0	0	2	0	1
127.0	0	0	0	1
128.0	0	1	0	0
129.0	0	0	0	1
130.0	0	0	0	3
131.0	0	1	0	0
132.0	0	2	0	2
133.0	0	0	0	1
134.0	0	1	0	1
136.0	0	2	0	0
137.0	0	1	0	1
138.0	0	0	0	1
139.0	0	1	0	0
140.0	0	1	0	1
141.0	0	2	0	0
143.0	0	0	0	1
145.0	0	0	0	1
146.0	0	1	0	0
147.0	0	1	0	1
148.0	0	1	0	0
151.0	0	0	0	1
153.0	0	1	0	1
157.0	0	1	0	0
159.0	0	0	0	1
160.0	0	1	0	0
165.0	0	0	0	1
166.0	0	1	0	0
168.0	0	0	0	1
172.0	0	1	0	0
174.0	0	0	0	1
175.0	0	0	0	1
176.0	0	0	0	1
177.0	0	1	0	0
178.0	0	1	0	1
179.0	0	2	0	0
180.0	0	0	0	1
185.0	0	1	0	0
194.0	0	0	0	1
195.0	0	0	0	1
197.0	0	0	0	1
200.0	0	1	0	0
201.0	0	1	0	0
202.0	0	0	0	1
203.0	0	1	0	1
204.0	0	0	0	1
206.0	0	1	0	1
207.0	0	0	0	1
208.0	0	0	0	1
209.0	0	1	0	0
210.0	0	2	0	0
211.0	0	0	0	1
214.0	0	1	0	1
216.0	0	1	0	0
217.0	0	2	0	0
219.0	0	0	0	1
222.0	0	0	0	1
226.0	0	0	0	1
227.0	0	1	0	0
230.0	0	0	0	1
231.0	0	1	0	0
233.0	0	1	0	1
236.0	0	1	0	0
242.0	0	1	0	0
243.0	0	0	0	1
248.0	0	1	0	0
249.0	0	0	0	1
256.0	0	1	0	0
259.0	0	0	0	1
262.0	0	0	0	1
265.0	0	2	0	0
271.0	0	0	0	1
273.0	0	0	0	1
274.0	0	0	0	1
283.0	0	1	0	0
284.0	0	1	0	0
285.0	0	1	0	0
288.0	0	0	0	2
292.0	0	1	0	0
293.0	0	0	0	1
294.0	0	0	0	1
300.0	0	1	0	0
305.0	0	1	0	0
310.0	0	1	0	0
312.0	0	0	0	1
317.0	0	0	0	1
320.0	0	1	0	0
329.0	0	1	0	0
331.0	0	0	0	1
334.0	0	0	0	1
344.0	0	1	0	0
345.0	0	1	0	0
349.0	0	0	0	1
366.0	0	0	0	1
369.0	0	1	0	0
372.0	0	0	0	1
378.0	0	1	0	0
379.0	0	0	0	1
386.0	0	1	0	0
387.0	0	0	0	1
396.0	0	1	0	1
402.0	0	0	0	1
411.0	0	1	0	0
412.0	0	1	0	0
418.0	0	1	0	0
428.0	0	0	0	1
433.0	0	0	0	1
441.0	0	1	0	0
446.0	0	0	0	1
448.0	0	1	0	0
456.0	0	0	0	1
461.0	0	1	0	0
465.0	0	1	0	0
481.0	0	0	0	1
492.0	0	0	0	1
497.0	0	1	0	0
503.0	0	0	0	1
510.0	0	0	0	1
511.0	0	0	0	1
512.0	0	1	0	0
518.0	0	1	0	0
530.0	0	1	0	0
531.0	0	1	0	0
547.0	0	0	0	1
550.0	0	0	0	1
558.0	0	0	0	1
562.0	0	1	0	0
565.0	0	0	0	1
568.0	0	1	0	0
586.0	0	1	0	0
588.0	0	1	0	1
602.0	0	0	0	1
607.0	0	0	0	1
610.0	0	1	0	0
623.0	0	0	0	1
627.0	0	0	0	1
631.0	0	1	0	0
633.0	0	1	0	0
637.0	0	1	0	0
647.0	0	1	0	0
687.0	0	0	0	1
711.0	0	1	0	0
719.0	0	0	0	1
742.0	0	0	0	1
744.0	0	0	0	1
747.0	0	1	0	0
775.0	0	1	0	0
776.0	0	1	0	0
829.0	0	0	0	1
854.0	0	1	0	0
878.0	0	0	0	1
885.0	0	0	0	1
890.0	0	0	0	1
906.0	0	1	0	0
911.0	0	1	0	0
914.0	0	0	0	1
922.0	0	1	0	0
923.0	0	0	0	1
934.0	0	0	0	1
939.0	0	0	0	1
951.0	0	1	0	0
954.0	0	1	0	0
966.0	0	1	0	0
967.0	0	1	0	0
1027.0	0	0	0	1
1037.0	0	0	0	1
1072.0	0	1	0	0
1073.0	0	1	0	0
1096.0	0	0	0	1
1114.0	0	0	0	1
1138.0	0	1	0	0
1151.0	0	1	0	1
1182.0	0	1	0	0
1189.0	0	0	0	1
1218.0	0	0	0	1
1232.0	0	1	0	0
1240.0	0	0	0	1
1246.0	0	0	0	1
1247.0	0	0	0	1
1252.0	0	0	0	1
1259.0	0	1	0	0
1282.0	0	1	0	0
1283.0	0	1	0	0
1294.0	0	1	0	0
1296.0	0	1	0	0
1301.0	0	0	0	1
1304.0	0	0	0	1
1344.0	0	1	0	0
1346.0	0	0	0	1
1360.0	0	1	0	0
1398.0	0	1	0	0
1436.0	0	0	0	1
1476.0	0	1	0	0

