# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_start_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
E	gene-E	TRANSCRIPT_gene-E	protein_coding	0	0	0	24	0	0	14	0	0	0	0	10
M	gene-M	TRANSCRIPT_gene-M	protein_coding	0	1	1	22	0	0	12	0	1	0	1	10
N	gene-N	TRANSCRIPT_gene-N	protein_coding	1	1	4	13	0	0	1	1	4	1	1	12
ORF10	gene-ORF10	TRANSCRIPT_gene-ORF10	protein_coding	0	0	0	16	0	0	1	0	0	0	0	15
ORF3a	gene-ORF3a	TRANSCRIPT_gene-ORF3a	protein_coding	0	0	2	23	0	0	14	0	2	0	0	9
ORF6	gene-ORF6	TRANSCRIPT_gene-ORF6	protein_coding	0	0	0	22	0	0	12	0	0	0	0	10
ORF7a	gene-ORF7a	TRANSCRIPT_gene-ORF7a	protein_coding	0	1	2	19	0	0	9	0	2	0	1	10
ORF8	gene-ORF8	TRANSCRIPT_gene-ORF8	protein_coding	0	0	1	20	1	0	7	0	0	0	0	13
S	gene-S	TRANSCRIPT_gene-S	protein_coding	0	1	7	18	0	1	16	0	6	0	1	2
orf1ab	gene-orf1ab	TRANSCRIPT_gene-orf1ab	protein_coding	0	8	8	12	0	0	10	0	8	0	8	2
